time;V(IN_CODEC_BUF);V(IN_JACK_BUF);
0;0,9;0;
1e-07;0,900042;0,00314159;
1,12121e-07;0,900047;0,00352239;
1,36363e-07;0,90006;0,00428397;
1,84847e-07;0,900093;0,00580715;
2,81816e-07;0,900185;0,00885349;
4,75752e-07;0,90045;0,0149462;
8,63625e-07;0,901169;0,0271315;
1,32655e-06;0,902186;0,0416745;
2,13729e-06;0,904073;0,067143;
3,5497e-06;0,907409;0,111508;
6,37452e-06;0,914078;0,200208;
1,09477e-05;0,924864;0,343663;
1,82175e-05;0,941962;0,57107;
2,82175e-05;0,96533;0,881841;
3,82175e-05;0,988437;1,18913;
4,82175e-05;1,01119;1,49173;
5,82175e-05;1,03351;1,78844;
6,82175e-05;1,05529;2,07809;
7,82175e-05;1,07646;2,35955;
8,82175e-05;1,09693;2,63168;
9,82175e-05;1,11662;2,89344;
0,000108217;1,13545;3,14377;
0,000118217;1,15335;3,3817;
0,000128217;1,17025;3,60628;
0,000138217;1,18608;3,81663;
0,000148217;1,20078;4,01192;
0,000158217;1,21429;4,19137;
0,000168217;1,22655;4,35428;
0,000178217;1,23753;4,50001;
0,000188217;1,24717;4,62798;
0,000198217;1,25543;4,73768;
0,000208217;1,26229;4,82869;
0,000218217;1,26772;4,90064;
0,000228217;1,2717;4,95324;
0,000238217;1,2742;4,9863;
0,000248217;1,27523;4,99969;
0,000258217;1,27477;4,99334;
0,000268217;1,27283;4,96728;
0,000278217;1,26942;4,92162;
0,000288217;1,26454;4,85654;
0,000298217;1,25823;4,77229;
0,000308217;1,2505;4,66921;
0,000318217;1,24138;4,54769;
0,000328217;1,23091;4,40824;
0,000338217;1,21913;4,25138;
0,000348217;1,2061;4,07775;
0,000358217;1,19185;3,88802;
0,000368217;1,17644;3,68295;
0,000378217;1,15995;3,46334;
0,000388217;1,14242;3,23007;
0,000398217;1,12394;2,98405;
0,000408217;1,10457;2,72625;
0,000418217;1,08439;2,45769;
0,000428217;1,06348;2,17943;
0,000438217;1,04192;1,89257;
0,000448217;1,01979;1,59825;
0,000458217;0,997198;1,29761;
0,000468217;0,974214;0,991855;
0,000478217;0,950936;0,682184;
0,000488217;0,927453;0,369821;
0,000498217;0,90386;0,0559987;
0,000508217;0,880249;-0,258045;
0,000518217;0,856713;-0,57107;
0,000528217;0,833345;-0,881841;
0,000538217;0,810238;-1,18913;
0,000548217;0,787483;-1,49173;
0,000558217;0,765169;-1,78844;
0,000568217;0,743384;-2,07809;
0,000578217;0,722215;-2,35955;
0,000588217;0,701745;-2,63168;
0,000598217;0,682055;-2,89344;
0,000608217;0,663223;-3,14377;
0,000618217;0,645322;-3,3817;
0,000628217;0,628424;-3,60628;
0,000638217;0,612594;-3,81663;
0,000648217;0,597897;-4,01192;
0,000658217;0,584389;-4,19137;
0,000668217;0,572124;-4,35428;
0,000678217;0,561151;-4,50001;
0,000688217;0,551512;-4,62798;
0,000698217;0,543246;-4,73768;
0,000708217;0,536385;-4,82869;
0,000718217;0,530957;-4,90064;
0,000728217;0,526982;-4,95324;
0,000738217;0,524477;-4,9863;
0,000748217;0,523452;-4,99969;
0,000758217;0,52391;-4,99334;
0,000768217;0,525849;-4,96728;
0,000778217;0,529263;-4,92162;
0,000788217;0,534137;-4,85654;
0,000798217;0,540452;-4,77229;
0,000808217;0,548184;-4,66921;
0,000818217;0,557302;-4,54769;
0,000828217;0,567769;-4,40824;
0,000838217;0,579545;-4,25138;
0,000848217;0,592584;-4,07775;
0,000858217;0,606832;-3,88802;
0,000868217;0,622236;-3,68295;
0,000878217;0,638732;-3,46334;
0,000888217;0,656258;-3,23007;
0,000898217;0,674743;-2,98405;
0,000908217;0,694114;-2,72625;
0,000918217;0,714295;-2,45769;
0,000928217;0,735206;-2,17943;
0,000938217;0,756765;-1,89257;
0,000948217;0,778887;-1,59825;
0,000958217;0,801484;-1,29761;
0,000968217;0,824468;-0,991855;
0,000978217;0,847746;-0,682184;
0,000988217;0,871229;-0,369821;
0,000998217;0,894822;-0,0559987;
0,00100822;0,918434;0,258045;
0,00101822;0,94197;0,57107;
0,00102822;0,965337;0,881841;
0,00103822;0,988445;1,18913;
0,00104822;1,0112;1,49173;
0,00105822;1,03351;1,78844;
0,00106822;1,0553;2,07809;
0,00107822;1,07647;2,35955;
0,00108822;1,09694;2,63168;
0,00109822;1,11663;2,89344;
0,00110822;1,13546;3,14377;
0,00111822;1,15336;3,3817;
0,00112822;1,17026;3,60628;
0,00113822;1,18609;3,81663;
0,00114822;1,20079;4,01192;
0,00115822;1,2143;4,19137;
0,00116822;1,22656;4,35428;
0,00117822;1,23753;4,50001;
0,00118822;1,24717;4,62798;
0,00119822;1,25544;4,73768;
0,00120822;1,2623;4,82869;
0,00121822;1,26773;4,90064;
0,00122822;1,2717;4,95324;
0,00123822;1,27421;4,9863;
0,00124822;1,27523;4,99969;
0,00125822;1,27478;4,99334;
0,00126822;1,27284;4,96728;
0,00127822;1,26942;4,92162;
0,00128822;1,26455;4,85654;
0,00129822;1,25823;4,77229;
0,00130822;1,2505;4,66921;
0,00131822;1,24139;4,54769;
0,00132822;1,23092;4,40824;
0,00133822;1,21914;4,25138;
0,00134822;1,2061;4,07775;
0,00135822;1,19186;3,88802;
0,00136822;1,17645;3,68295;
0,00137822;1,15996;3,46334;
0,00138822;1,14243;3,23007;
0,00139822;1,12395;2,98405;
0,00140822;1,10457;2,72625;
0,00141822;1,08439;2,45769;
0,00142822;1,06348;2,17943;
0,00143822;1,04192;1,89257;
0,00144822;1,0198;1,59825;
0,00145822;0,997205;1,29761;
0,00146822;0,974222;0,991855;
0,00147822;0,950943;0,682184;
0,00148822;0,927461;0,369821;
0,00149822;0,903867;0,0559987;
0,00150822;0,880256;-0,258045;
0,00151822;0,85672;-0,57107;
0,00152822;0,833353;-0,881841;
0,00153822;0,810246;-1,18913;
0,00154822;0,78749;-1,49173;
0,00155822;0,765176;-1,78844;
0,00156822;0,743392;-2,07809;
0,00157822;0,722223;-2,35955;
0,00158822;0,701753;-2,63168;
0,00159822;0,682063;-2,89344;
0,00160822;0,66323;-3,14377;
0,00161822;0,645329;-3,3817;
0,00162822;0,628431;-3,60628;
0,00163822;0,612602;-3,81663;
0,00164822;0,597904;-4,01192;
0,00165822;0,584396;-4,19137;
0,00166822;0,572132;-4,35428;
0,00167822;0,561158;-4,50001;
0,00168822;0,551519;-4,62798;
0,00169822;0,543253;-4,73768;
0,00170822;0,536392;-4,82869;
0,00171822;0,530964;-4,90064;
0,00172822;0,52699;-4,95324;
0,00173822;0,524485;-4,9863;
0,00174822;0,523459;-4,99969;
0,00175822;0,523917;-4,99334;
0,00176822;0,525857;-4,96728;
0,00177822;0,52927;-4,92162;
0,00178822;0,534144;-4,85654;
0,00179822;0,54046;-4,77229;
0,00180822;0,548191;-4,66921;
0,00181822;0,557309;-4,54769;
0,00182822;0,567777;-4,40824;
0,00183822;0,579553;-4,25138;
0,00184822;0,592591;-4,07775;
0,00185822;0,60684;-3,88802;
0,00186822;0,622243;-3,68295;
0,00187822;0,63874;-3,46334;
0,00188822;0,656265;-3,23007;
0,00189822;0,67475;-2,98405;
0,00190822;0,694121;-2,72625;
0,00191822;0,714302;-2,45769;
0,00192822;0,735213;-2,17943;
0,00193822;0,756772;-1,89257;
0,00194822;0,778894;-1,59825;
0,00195822;0,801491;-1,29761;
0,00196822;0,824475;-0,991855;
0,00197822;0,847754;-0,682184;
0,00198822;0,871236;-0,369821;
0,00199822;0,89483;-0,0559987;
0,00200822;0,918441;0,258045;
