applied v/oct voltage [V], read frequency on output (Hz)

-1.0003, 502.0
-1.0004, 502.0
-1.0003, 498.0
-1.0003, 498.5
-1.0004, 498.0
-1.0004, 499.5
-1.0003, 498.5
-1.0003, 500.0

0, 998.4
0, 1003
0, 1002
0, 1003
0, 998.4
0, 996.8
0, 1002
0, 1000

0.9998, 1995
0.9996, 1990
0.9995, 1997
0.9995, 2003
0.9994, 1990
0.9993, 2006
0.9994, 2003
0.9993, 1997

1.9999, 3981
2.0000, 4006
2.0001, 3998
2.0002, 3994
2.0002, 4006
2.0002, 4006
2.0003, 3968
2.0003, 3994

2.9997, 7996
2.9996, 7962
2.9996, 7970
2.9996, 7979
2.9996, 8047
2.9996, 8013
2.9996, 7945
2.9995, 8013

4.0003, 15.94k
4.0001, 16.10k
4.0001, 15.98k
4.0001, 16.13k
4.0000, 16.08k
4.0001, 16.10k
4.0000, 16.08k
4.0000, 16.02k
